video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/mMhBd25Kflo,/@clshealth,CLS Health,10 Signs That You Have Diabetes from an Endocrinologist 💉with Dr. Nicole Sheung,887K,1 year,Disclaimer: The information provided in this video is for informational purposes only and should not be considered medical advice ...,45:50.2
/watch?v=UMhLBPPtlrY&pp=ygUIRGlhYmV0ZXM%3D,/@TED,TED,Peter Attia: What if we're wrong about diabetes?,2.7M,12 years,"As a young ER doctor, Peter Attia felt contempt for a patient with diabetes. She was overweight, he thought, and thus responsible ...",45:56.3
/watch?v=Txqe_CAD43c&pp=ygUIRGlhYmV0ZXM%3D,/@MayoClinic,Mayo Clinic,Mayo Clinic Explains Diabetes,312K,3 years,"Learning about type 1 diabetes can be intimidating. Let our experts walk you through the facts, the questions, and the answers to ...",45:56.3
/watch?v=wcQCmX8fHW0&pp=ygUIRGlhYmV0ZXM%3D,/@clevelandclinic,Cleveland Clinic,10 Early Signs of Diabetes,315K,1 year,"For more information about diabetes, please visit https://cle.clinic/3tL0XOQ Diabetes is a common condition that affects people of ...",45:56.3
/watch?v=JAjZv41iUJU&pp=ygUIRGlhYmV0ZXM%3D,/@AnimatedDiabetesPatient,Animated Diabetes Patient,Understanding Type 2 Diabetes,2M,11 years,"Learn more at: http://www.AnimatedDiabetesPatient.com This animation describes insulin resistance, an underlying cause of type ...",45:56.3
/watch?v=da1vvigy5tQ&pp=ygUIRGlhYmV0ZXM%3D,/@TEDx,TEDx Talks,Type 2 diabetes | Sarah Hallberg | TEDxPurdueU,11M,10 years,NOTE FROM TED: Do not look to this talk for medical advice. Significantly restricting dietary carbohydrates can have adverse ...,45:56.3
/watch?v=ORpIYsxhRag&pp=ygUIRGlhYmV0ZXM%3D,/@SimpleNursing,SimpleNursing,"Diabetes Type 1 vs Type 2 Explained: Symptoms, Treatment, & Nursing Care | Mini Lesson Series",92K,1 year,"Diabetes is one of the most common conditions in America, leading to numerous comorbidities and hospitalizations.",45:56.3
/watch?v=pgafmrV5jyY&pp=ygUIRGlhYmV0ZXM%3D,/@armandohasudungan,Armando Hasudungan,"Type I and Type II Diabetes, chronic complications and management",62K,1 year,"Explore the differences between Type I and Type II diabetes, including their causes, pathophysiology, and clinical presentation.",45:56.3
/watch?v=X9ivR4y03DE&pp=ygUIRGlhYmV0ZXM%3D,/@diabetesuk,Diabetes UK,Diabetes and the body | Diabetes UK,5.6M,12 years,We have a more recent video on this topic. View it here: https://www.youtube.com/watch?v=ZLOjD5IfUyU.,45:56.3
/watch?v=LkHbXHcj5fo&pp=ygUIRGlhYmV0ZXM%3D,/@clevelandclinic,Cleveland Clinic,Diabetes Basics,104K,7 years,"For more information about diabetes, please visit https://cle.clinic/3tL0XOQ Diabetes mellitus is a disease that prevents your body ...",45:56.3
/watch?v=2TWelC6SHr8&pp=ygUIRGlhYmV0ZXPSBwkJTwoBhyohjO8%3D,/@NIDDKgov,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),What is Diabetes?,174K,9 years,"This video describes what diabetes is, the differences between type 1 and type 2 diabetes, possible complications, and ways to ...",45:56.3
/watch?v=Q_epStvzGyc&pp=ygUIRGlhYmV0ZXPSBwkJTwoBhyohjO8%3D,/@StanfordCME,Stanford CME,Understanding Diabetes: Type 1 vs Type 2 Explained | MedAnimations,118K,1 year,"Explore the world of diabetes with our educational animated video, ""Understanding Diabetes: Type 1 vs Type 2 Explained,"" ...",45:56.3
/watch?v=wOIZEz0hAY4&pp=ygUIRGlhYmV0ZXM%3D,/@NIDDKgov,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Healthy Eating with Diabetes,241K,5 years,Making changes in the way you eat can be difficult. Learn about small steps for healthy eating to help you manage your weight.,45:56.3
/shorts/eMdiV5RWBcs,/@pradipjamnadasmd,"Dr. Pradip Jamnadas, MD",What is Pre-Diabetes? #Shorts,1.9M,3 years,Watch the clip about pre-diabetes: https://www.youtube.com/watch?v=OhZcxvGNzJY Watch the full Lecture: ...,45:56.3
/watch?v=6xIZMZCznjM&pp=ygUIRGlhYmV0ZXPSBwkJTwoBhyohjO8%3D,/@SciShow,SciShow,Actually Understand Type 2 Diabetes,149K,1 year,"Type 2 diabetes affects over 400 million people. It can be confusing and difficult to manage, so in this video we'll answer all your ...",45:56.3
/watch?v=4o2-M1C6T5I&pp=ygUIRGlhYmV0ZXM%3D,/@YaleMedicine,Yale Medicine,Managing Diabetes: Diet Changes,33K,3 years,"For more information on diabetes or #YaleMedicine, visit: https://www.yalemedicine.org/news/diabetes-an-overview. A healthy ...",45:56.3
/shorts/yYqW1tDjZpc,/@reMOVEPainClinic,reMOVE Pain Clinic,1 Best Exercise for all Diabetic Patients Out there,1.2M,1 year,1 Best Exercise for all Diabetic Patients Out there #docsanjaysarkar #removepainclinic #chiropractor #shorts.,45:56.3
/shorts/dFchPwpGC8U,/@DoctorMyro,Doctor Myro,Why THIS could lead to diabetes 😳,20M,10 months,Yes it's reversible! #diabetes #exercise #health #prediabetes #healthcare #med #medicine #medical #suture #meded #learn ...,45:56.3
/watch?v=XfyGv-xwjlI&pp=ygUIRGlhYmV0ZXM%3D,/@Alilamedicalmedia,Alila Medical Media,"Diabetes Type 1 and Type 2, Animation.",4.8M,11 years,Alila Medical Media. All rights reserved. All images/videos by Alila Medical Media are for information purposes ONLY and are ...,45:56.3
/watch?v=bIhy-Rb2xp4&pp=ygUIRGlhYmV0ZXM%3D,/@diabetesuk,Diabetes UK,Diabetes symptoms | Signs of all types of diabetes | Diabetes UK,1.1M,5 years,"What are the symptoms of diabetes? With one in 15 of us now living with condition in the UK, it’s more important than ever to ...",45:56.3
/watch?v=wZAjVQWbMlE&pp=ygUIRGlhYmV0ZXM%3D,/@diabetesuk,Diabetes UK,What Is Diabetes? | 2 Minute Guide | Diabetes UK,1.1M,7 years,We have a more recent video on this topic. View it here: https://youtu.be/ZLOjD5IfUyU 3.8 million people have been diagnosed ...,46:06.3
/watch?v=UDHMN-jQ8kI&pp=ygUIRGlhYmV0ZXPSBwkJTwoBhyohjO8%3D,/@LevelUpRN,Level Up RN,"Diabetes: Pathophysiology, Signs/Symptoms, Labs, Treatment & more - Medical-Surgical | @LevelUpRN",233K,5 years,"Cathy discusses Diabetes Mellitus. She covers the pathophysiology of Diabetes, which includes the 3 types of diabetes. She talks ...",46:06.3
/shorts/s2BvQP2l9jM,/@apollohospitalsindia,Apollo Hospitals,What's the secret diabetes diet which even non-diabetics would want to have? | Apollo Hospitals,27K,4 years,"What's the secret diabetes diet which even non-diabetics would want to have? Listen to Dr Ravisankar Erukulpati, Apollo ...",46:06.3
/shorts/_j6Zgk80stQ,/@CNN,CNN,Meet the first Barbie with type 1 diabetes,28K,6 months,Mattel designed a new Barbie to represent those living with type 1 diabetes. CNN's Jacqueline Howard explains what makes this ...,46:06.3
/watch?v=NyMigFpOnpM&pp=ygUIRGlhYmV0ZXM%3D,/@SimpleNursing,SimpleNursing,Diabetes Mellitus (Type 1 & Type 2) for Nursing & NCLEX,130K,8 months,"Diabetes is one of the most tested chronic conditions on the NCLEX. Knowing how to manage blood sugar, educate patients, and ...",46:06.3
/shorts/BDvl849r30w,/@NBCNews,NBC News,Mattel launches Barbie with Type I diabetes and a glucose monitor,11K,6 months,"For more context and news coverage of the most important stories of our day, click here: https://www.nbcnews.com » Subscribe to ...",46:06.3
/shorts/RGOVdSlrfcM,/@SugarMDs,SugarMD,"If you have Diabetes, CARBOHYDRATES are Important for you!",61K,3 years,VISIT https://sugarmds.com/ FOR USA CUSTOMERS https://www.etsy.com/shop/sugarmd/ FOR NON-USA ...,46:06.3
/shorts/EuzFWzugsYI,/@ranveerallahbadia,Ranveer Allahbadia,Diabetes ke Symptoms Ft. Diabetologist Dr. Rahul Baxi #shorts,4.8M,1 year,"To join the BeerBiceps SkillHouse course, CLICK HERE : https://bbsh.in/ra-yt-vem

Use my referral code OFF40 to get a 40 ...",46:06.3
/watch?v=k_3hbrqLZ5U&pp=ygUIRGlhYmV0ZXM%3D,/@TEDEd,TED-Ed,What did dogs teach humans about diabetes? - Duncan C. Ferguson,383K,11 years,View full lesson: http://ed.ted.com/lessons/what-did-dogs-teach-humans-about-diabetes-duncan-c-ferguson Diabetes has a ...,46:06.3
/shorts/c7FsFgTJygQ,/@DoctorMikeHansen,Doctor Mike Hansen,Type 2 diabetes What it is and what causes it ? - Doctor Mike Hansen,41K,3 years,Hyperglycemia (high blood glucose) means there is too much sugar in the blood because the body lacks enough insulin.,46:06.3
