video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=kQeorPkPLmU&pp=ygULZm9vZC1kZXNlcnQ%3D,/@NPR,NPR,Food Deserts in D.C. | Let's Talk | NPR,173K,7 years,"Fast food joints and convenience stores are often the only options for those who live in food deserts, even in Washington, D.C. ...",21:45.4
/watch?v=E6ZpkhPciaU&pp=ygULZm9vZC1kZXNlcnQ%3D,/@theGuardian,The Guardian,The food deserts of Memphis: inside America's hunger capital | Divided Cities,1.3M,6 years,"In the 'food deserts' of Memphis, Tennessee, dominated by fast food outlets and convenience stores, locals lack what seems a ...",21:45.4
/watch?v=dDbENx9c3Fg&pp=ygULZm9vZC1kZXNlcnQ%3D,/@VICENews,VICE News,Trying to Eat Healthy in a Food Desert,711K,4 years,We take a look at systemic racism in America's food systems. Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News ...,21:45.4
/watch?v=wAu8Noo8CxA&pp=ygULZm9vZC1kZXNlcnQ%3D,/@CarbLoaded,Carb Loaded,What is A Food Desert?,93K,10 years,An excerpt from the documentary Carb-Loaded: A Culture Dying to Eat that discusses what a food desert is. You can also watch ...,21:45.4
/watch?v=Ux9siEMDxjo&pp=ygULZm9vZC1kZXNlcnTSBwkJTwoBhyohjO8%3D,/@PIX11News,PIX11 News,Why food deserts persist in low-income NYC neighborhoods,14K,4 years,Hundreds of thousands of people in the New York City area live in so-called food deserts -- low-income neighborhoods that lack ...,21:45.4
/watch?v=HKVNuVd_OTA&pp=ygULZm9vZC1kZXNlcnQ%3D,/@SunhakPeacePrize,Sunhak Peace Prize,What is Food Desert?,2.9K,1 year,"Are you living in a ""food desert""? 🏜�?Discover how food deserts impact millions globally, including in developed countries like ...",21:45.4
/watch?v=tayxf5q5y8c&pp=ygULZm9vZC1kZXNlcnQ%3D,/@PBSNewsHour,PBS NewsHour,Building an oasis in a Philadelphia food desert,195K,10 years,"In Philadelphia, a fourth-generation supermarket owner has gone where others have feared to tread: food deserts, low-income ...",21:45.4
/watch?v=Rd8J-9uUnfc&pp=ygULZm9vZC1kZXNlcnQ%3D,/@CNBC,CNBC,Why Grocery Stores Are Avoiding Black Neighborhoods,3.1M,5 years,"A food desert is an area with low-access to healthy and affordable food. About 19 million people in America live in a food desert, ...",21:45.4
/watch?v=staZr1BFsE8&pp=ygULZm9vZC1kZXNlcnQ%3D,/@Jen-Chapin,Jen Chapin,⚠️ The struggle to live and shop in a FOOD DESERT 🌵,20K,3 years,Download the FREE Upside App and use promo code CHAPIN to get $5 or more cash back on your first purchase of $10 or more ...,21:45.4
/watch?v=NO9Z1IgcNS0&pp=ygULZm9vZC1kZXNlcnQ%3D,/@nbcwashington,NBC4 Washington,New market offers oasis in Maryland food desert | NBC4 Washington,749,9 months,"Accessibility to grocery stores is an issue for people in some of the rural parts of the area, including Indian Head, Maryland, which ...",21:45.4
/watch?v=nGspR1I869E&pp=ygULZm9vZC1kZXNlcnQ%3D,/@WJZ13TV,WJZ,International grocery store brings relief to Baltimore neighborhood in food desert,2.3K,7 months,International grocery store LA Mart opened a new Maryland location less than a year after a store closed in a Baltimore ...,21:45.4
/watch?v=LPG3jG7UlHU&pp=ygULZm9vZC1kZXNlcnQ%3D,/@Wfaa8,WFAA,Verify: Living in a food desert,46K,8 years,Verify: Living in a food desert.,21:45.4
/watch?v=_g-X8GNBYCM&pp=ygULZm9vZC1kZXNlcnQ%3D,/@PBSNewsHour,PBS NewsHour,Mississippi  'Food Deserts' Fuel Obesity Epidemic,76K,15 years,"Read the transcript: http://to.pbs.org/dlxBib As the government highlights the growing health risks of childhood obesity, Betty Ann ...",21:45.4
/watch?v=HIRbJEYb2Yg&pp=ygULZm9vZC1kZXNlcnQ%3D,/@ChicagoBoothReview,Chicago Booth Review,The hole in the food-desert hypothesis,53K,6 years,"review.chicagobooth.edu | The US government has spent perhaps a billion dollars trying to bring healthy food to ""food ...",21:45.4
/watch?v=dKDYDKblcEI&pp=ygULZm9vZC1kZXNlcnTSBwkJTwoBhyohjO8%3D,/@CBSNewYork,CBS New York,"""Food deserts"" continue to be a problem in New York City",21K,3 years,"As CBS2's Lisa Rozner investigates, the inequitable access to healthy and affordable food is something that more than two dozen ...",21:45.4
/watch?v=peOIe99rwBU&pp=ygULZm9vZC1kZXNlcnQ%3D,/@KSATnews,KSAT 12,Food deserts in San Antonio: What they are and how the community is trying to help,491,7 months,"Food deserts are not a new problem for San Antonio. In 2015, the City of San Antonio and Metro Health said 28% of people in ...",21:45.4
/watch?v=xogyp6K5efA&pp=ygULZm9vZC1kZXNlcnQ%3D,/@nbcdfw,NBC DFW,West Dallas grocer closing renews food desert concerns | NBC DFW,2.6K,1 month,"Cash Saver closed one of its four locations in Dallas, creating a gap in fresh food options in West Dallas. NBC 5's David Goins ...",21:45.4
/watch?v=B16DZBzHH_g&pp=ygULZm9vZC1kZXNlcnTSBwkJTwoBhyohjO8%3D,/@pbswisconsin,PBS Wisconsin,Food Deserts and Racial Disparities | Why Race Matters,611,7 months,"Food deserts limit access to healthy, affordable food �?especially in communities of color. Angela Fitzgerald visits with Mariam ...",21:45.4
/watch?v=jicYbi-8ZNU&pp=ygULZm9vZC1kZXNlcnQ%3D,/@VSUOfficialChannel,VSUOfficialChannel,Living In a Food Desert Documentary,271K,10 years,"Across Virginia - from Hampton to Richmond, Petersburg to Lynchburg to Wise County and all points in between - approximately ...",21:45.4
/watch?v=qfIJbQQ6Au0&pp=ygULZm9vZC1kZXNlcnQ%3D,/@NoahZerbe,Noah Zerbe,Food Deserts: Hidden Hunger in America's Neighborhoods,1.5K,1 year,"Imagine living in a neighborhood where the nearest grocery store is miles away, and your only food options are convenience ...",21:45.4
/watch?v=EU30X0bPDWE&pp=ygULZm9vZC1kZXNlcnQ%3D,/@AfricanDiasporaNews,African Diaspora News Channel,Baltimore Black Residents Live In Food Deserts While Their Politicians Shop At Whole Foods,13K,Streamed 1 year,Demetra Kaye reports on Baltimore Black residents living in food deserts while their politicians shop at Whole Foods. Connect ...,21:54.8
/watch?v=Y5EaPTVSwd4&pp=ygULZm9vZC1kZXNlcnQ%3D,/@FOX32Chicago,FOX 32 Chicago,New report shows living in food desert can take years off person's life,5K,2 years,"Parts of Chicago have struggled for years with food deserts, entire neighborhoods without fresh grocery stores. Subscribe to FOX ...",21:54.8
/watch?v=OjDdDe6--VQ&pp=ygULZm9vZC1kZXNlcnQ%3D,/@KFYR-TV,KFYR-TV,Rural grocery stores limiting ‘food deserts�?145,6 months,Rural grocery stores limiting 'food deserts' For more Local News from KFYR: https://www.kfyrtv.com/ For more YouTube Content: ...,21:54.8,
/watch?v=I8fDRO9T3CM&pp=ygULZm9vZC1kZXNlcnQ%3D,/@NBCNews,NBC News,"Dollar stores squeezing out grocery stores and leading to creation of food deserts, study finds",409K,2 years,"In March, advocacy group the Institute for Local Self-Reliance published a study that found that dollar stores are pulling sales ...",21:54.8
/watch?v=IrPAqx3cSYQ&pp=ygULZm9vZC1kZXNlcnQ%3D,/@WBALTV11,WBAL-TV 11 Baltimore,Food desert no more: How Mount Clare's persistence paid off,1.5K,8 months,"Two years ago, a grocery store left Southwest Baltimore's Mount Clare community, making it a food desert. Since then, community ...",21:54.8
